Harga,title,Kecamatan,Kota,lat,long,Tipe Properti,K. Tidur,K. Mandi,Luas Tanah,Luas Bangunan,Carport,Listrik,K. Tidur Pembantu,K. Mandi Pembantu,Lantai,Kondisi,Garasi,furnishing,TahunRumah,kategori_harga
950000000.0,Rumah Dekat Harapan Indah Harga All In Siap Kpr Di Telaga Mas,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,3.0,2.0,66.0,87.0,1.0,2200.0,0.0,0.0,2.0,bagus,1.0,unfurnished,0.0,harga rendah
1500000000.0,Rumah Brand New 2 lantai 7x18 126m type 2KT cluster Adara HI Harapan Indah Bekasi,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,2.0,2.0,126.0,80.0,0.0,2200.0,1.0,1.0,2.0,bagus,0.0,unfurnished,2.0,harga tinggi
1250000000.0,Rumah 2 Lantai Bisa Kpr di Cluster Lavesh Harapan Indah Bekasi,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,2.0,2.0,84.0,56.0,1.0,2200.0,0.0,0.0,2.0,baru,1.0,unfurnished,0.0,harga rendah
1200000000.0,Rumah 2 Lantai Sudah Renovasi SHM di Harapan Indah Bekasi,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,5.0,3.0,152.0,200.0,1.0,2200.0,1.0,1.0,2.0,sudah renovasi,1.0,unfurnished,0.0,harga rendah
3200000000.0,Cepat Rumah Mewah Hook di Boulevar Hijau Harapan Indah Bekasi,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,5.0,5.0,376.0,700.0,3.0,3300.0,0.0,0.0,2.0,bagus sekali,2.0,semi furnished,2.0,harga tinggi
850000000.0,Rumah Murah Siap Huni Lepas Cepat Cluster Ifolia Harapan Indah,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,2.0,1.0,90.0,60.0,1.0,2200.0,1.0,1.0,1.0,bagus,0.0,unfurnished,12.0,harga rendah
1280000000.0,Rumah Klasik Kondisi Menarik Harga Asik di Harapan Indah 13038 Dv,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,3.0,2.0,139.0,120.0,1.0,2200.0,0.0,0.0,1.0,bagus,1.0,unfurnished,0.0,harga rendah
895000000.0,Rumah Baru Lokasi Pinggir Jalan Harga Termurah di Harapan Indah,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,3.0,3.0,58.0,90.0,1.0,2200.0,0.0,0.0,2.0,baru,1.0,semi furnished,0.0,harga rendah
1450000000.0,Segera Miliki Rumah Mewah Harga Termurah harapan Indah,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,4.0,3.0,131.0,225.0,1.0,2200.0,1.0,0.0,2.0,bagus,1.0,unfurnished,2.0,harga rendah
1300000000.0,Rumah Murah Renov Lepas Cepat Cluster Aralia Harapan Indah Bekasi,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,2.0,1.0,126.0,90.0,1.0,2200.0,1.0,1.0,1.0,bagus,0.0,unfurnished,12.0,harga rendah
690000000.0,Rumah Murah Jarang Ada Lepas Cepat Dan Bu Duta Bumi Harapan Indah Bekasi,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,2.0,2.0,90.0,60.0,1.0,1300.0,1.0,0.0,1.0,bagus,0.0,unfurnished,16.0,harga sangat rendah
950000000.0,Rumah Cluster Ifolia Harapan Indah Harganya Berkah 13027 Ds,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,2.0,1.0,90.0,120.0,1.0,2200.0,0.0,0.0,2.0,bagus,1.0,unfurnished,0.0,harga rendah
1350000000.0,Rumah Gaya Keren Bertingkat di Duta Bumi Harga Memikat 72498 Er,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,4.0,3.0,90.0,160.0,1.0,4400.0,0.0,0.0,2.0,bagus,1.0,unfurnished,0.0,harga rendah
1000000000.0,"Rumah Hook Kondisi Rapi Dekat Harapan Indah, Duta Bumi 72497 Er",Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,3.0,2.0,138.0,120.0,1.0,2200.0,0.0,0.0,1.0,bagus,1.0,unfurnished,0.0,harga rendah
2850000000.0,Rumah Harapan Indah Cluster Asera One East,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,3.0,3.0,160.0,216.0,1.0,2200.0,1.0,1.0,3.0,sudah renovasi,1.0,unfurnished,5.0,harga tinggi
1150000000.0,Rumah Baru siap Huni di Cluster Balsa Harapan Indah Bekasi,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,3.0,2.0,78.0,52.0,1.0,2200.0,0.0,0.0,2.0,bagus,0.0,unfurnished,0.0,harga rendah
342000000.0,"Rumah cantik di Bekasi,Cibitung,DP 0%,1JT ALL-IN,FREE SURAT²DP0%",Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,2.0,1.0,36.0,63.0,1.0,1300.0,0.0,0.0,1.0,baru,1.0,unfurnished,0.0,harga sangat rendah
327000000.0,"Rumah Cantik di Bekasi Dekat StBekasi,DP 0%CUMA 1JT ALL-IN,READY",Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,2.0,1.0,36.0,60.0,1.0,1300.0,0.0,0.0,1.0,baru,1.0,unfurnished,0.0,harga sangat rendah
975000000.0,Diju Cepat Rumah Cluster Aralia Harapan Indah Bekasi,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,2.0,1.0,90.0,70.0,1.0,2200.0,1.0,1.0,1.0,bagus,0.0,unfurnished,7.0,harga rendah
975000000.0,"Rumah di Cluster ifolia harapan indah, Harapan Indah",Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,3.0,2.0,90.0,70.0,0.0,2200.0,0.0,0.0,1.0,bagus,0.0,unfurnished,0.0,harga rendah
1370000000.0,"Jual Rumah di Cluster Harmoni, Harapan Indah",Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,4.0,3.0,105.0,100.0,0.0,2200.0,0.0,0.0,2.0,bagus,0.0,semi furnished,7.0,harga rendah
1370000000.0,"Rumah di Cluster harmoni harapan indah, Harapan Indah",Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,4.0,3.0,105.0,100.0,1.0,2200.0,0.0,0.0,2.0,bagus,0.0,unfurnished,0.0,harga rendah
2150000000.0,Di Jual Rumah di Cluster Asera Harapan Indah Bekasi,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,3.0,3.0,144.0,157.0,0.0,3500.0,1.0,1.0,2.0,bagus,0.0,unfurnished,2.0,harga tinggi
